	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
nFOMC20050503meeting.csv_VICE	7	0	0	1	0	0	0	0	434	0	0	2	0	0	0	1	62	0	0	0	0	0	0	0	0
nFOMC20060808meeting.csv_CHAIRMAN	0	0	4	8	0	0	0	0	1045	0	13	4	4	1	0	0	26	11	8	1	0	12	174	1	0
nFOMC20060808meeting.csv_DAVID	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nFOMC20060808meeting.csv_MR.	1	4	23	14	35	0	1	49	683	0	1	0	15	256	2	3	0	4	0	0	0	0	5	29	0
nFOMC20060808meeting.csv_MR.	7	0	0	0	0	0	0	2	544	1	8	0	18	2	0	0	0	0	45	17	19	3	0	0	0
nFOMC20060808meeting.csv_MR.	1	0	0	0	0	0	0	2	272	0	0	1	4	4	0	0	0	0	18	0	9	3	1	3	0
nFOMC20060808meeting.csv_MR.	0	0	1	11	0	2	0	0	847	0	43	0	2	0	0	0	0	34	0	0	0	10	13	0	0
nFOMC20060808meeting.csv_MR.	4	221	5	4	0	0	1	0	403	0	0	3	1	0	1	0	0	0	0	0	1	0	0	0	1
nFOMC20060808meeting.csv_MR.	0	2	0	7	0	73	0	7	665	0	0	0	13	0	0	0	3	0	0	1	9	0	0	0	0
nFOMC20060808meeting.csv_MR.	0	0	0	21	0	0	1	0	1500	0	49	1	0	1	3	1	2	61	13	0	46	10	0	1	8
nFOMC20060808meeting.csv_MR.	3	0	0	0	0	0	0	1	702	0	3	0	0	0	0	0	0	2	0	0	1	2	0	0	173
nFOMC20060808meeting.csv_MR.	0	0	0	30	2	1	0	2	771	0	14	0	5	0	0	0	7	10	0	2	4	4	0	41	0
nFOMC20060808meeting.csv_MR.	0	0	2	32	0	23	0	3	1218	0	39	0	6	0	11	0	0	0	77	0	0	0	0	0	2
nFOMC20060808meeting.csv_MR.	0	0	0	0	0	6	1	62	639	0	0	1	11	2	0	1	0	0	0	0	12	0	0	0	8
nFOMC20060808meeting.csv_MR.	0	0	1	5	0	7	0	6	341	0	20	0	0	0	0	0	8	0	1	0	6	0	0	3	2
nFOMC20060808meeting.csv_MR.	0	13	0	17	1	1	139	7	806	0	0	1	0	0	5	0	0	10	0	0	6	14	0	5	0
nFOMC20060808meeting.csv_MR.	0	0	0	5	0	0	2	0	1039	2	0	0	1	5	0	11	0	43	0	4	16	229	0	0	2
nFOMC20060808meeting.csv_MS.	0	1	0	1	4	0	18	2	424	1	15	0	19	0	1	0	0	0	0	4	3	0	1	17	0
nFOMC20060808meeting.csv_MS.	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0
nFOMC20060808meeting.csv_MS.	0	12	0	0	37	0	0	1	634	3	0	0	0	0	0	194	0	0	0	10	0	0	0	0	0
nFOMC20060808meeting.csv_MS.	0	0	0	38	0	0	1	14	1046	0	7	0	1	0	0	0	8	0	64	0	2	4	2	2	0
nFOMC20060808meeting.csv_MS.	2	0	0	24	1	0	0	3	535	0	31	0	2	0	1	0	2	0	4	0	4	0	1	31	0
nFOMC20060808meeting.csv_MS.	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0
nFOMC20060808meeting.csv_MS.	0	0	1	67	7	0	0	1	1157	0	63	0	0	0	9	0	4	43	7	0	16	15	1	0	0
nFOMC20060808meeting.csv_VICE	0	0	0	0	0	1	2	0	921	0	0	1	4	0	0	0	261	10	0	0	0	9	0	0	0
nFOMC20060510meeting.csv_CHAIRMAN	0	1	4	4	0	7	0	0	927	0	7	3	12	1	0	0	0	1	4	0	0	2	192	3	7
nFOMC20060510meeting.csv_MR.	4	0	0	0	12	0	1	24	558	10	0	3	4	194	7	15	0	12	1	0	0	0	5	1	2
nFOMC20060510meeting.csv_MR.	0	0	1	1	5	3	0	5	488	0	0	0	0	13	0	0	1	8	39	81	7	0	0	0	0
nFOMC20060510meeting.csv_MR.	0	1	0	0	0	0	3	0	18	1	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0
nFOMC20060510meeting.csv_MR.	1	3	0	0	0	10	0	0	318	0	0	1	2	6	1	0	0	0	22	0	0	0	0	0	0
nFOMC20060510meeting.csv_MR.	0	0	4	0	14	0	0	2	577	0	19	0	6	0	2	0	0	41	0	1	1	1	11	0	0
nFOMC20060510meeting.csv_MR.	0	285	0	2	24	0	4	0	631	0	0	26	0	0	0	1	0	0	0	1	9	4	0	0	0
nFOMC20060510meeting.csv_MR.	0	0	4	0	0	58	11	0	413	1	0	0	0	0	0	0	0	15	0	0	1	0	2	2	3
nFOMC20060510meeting.csv_MR.	0	5	0	0	0	2	4	0	634	0	6	17	0	0	0	2	0	0	14	7	29	0	1	2	0
nFOMC20060510meeting.csv_MR.	0	0	0	0	0	0	0	7	551	0	21	0	0	0	0	0	1	3	12	1	0	0	1	37	0
nFOMC20060510meeting.csv_MR.	0	0	61	0	0	0	34	6	264	0	1	0	0	0	0	0	0	1	0	3	0	2	5	6	0
nFOMC20060510meeting.csv_MR.	0	0	4	2	4	0	14	137	763	0	0	0	36	0	1	0	0	7	6	10	0	0	7	2	6
nFOMC20060510meeting.csv_MR.	2	0	0	0	0	0	0	1	672	0	0	6	1	0	4	0	0	2	0	0	12	0	5	1	123
nFOMC20060510meeting.csv_MR.	5	2	0	0	0	7	3	2	246	2	0	1	0	3	0	0	0	1	13	1	6	0	2	0	0
nFOMC20060510meeting.csv_MR.	1	0	4	2	0	0	0	6	1278	0	2	0	0	0	0	35	7	34	1	12	8	111	0	6	0
nFOMC20060510meeting.csv_MR.	0	0	0	0	0	0	0	0	509	0	0	0	0	1	1	0	0	3	65	0	2	0	0	6	0
nFOMC20060510meeting.csv_MR.	2	0	0	0	0	0	128	3	453	0	2	0	9	0	4	5	6	0	0	2	15	1	3	0	2
nFOMC20060510meeting.csv_MR.	0	0	0	0	0	2	4	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
nFOMC20060510meeting.csv_MS.	5	0	8	0	0	5	4	1	420	62	0	7	1	2	6	0	0	0	1	6	1	1	0	0	0
nFOMC20060510meeting.csv_MS.	0	0	0	0	0	0	0	0	39	1	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0
nFOMC20060510meeting.csv_MS.	0	8	3	3	84	0	1	1	629	0	0	0	0	0	0	278	0	0	0	0	0	4	0	2	1
nFOMC20060510meeting.csv_MS.	0	4	1	0	0	3	5	0	516	0	0	2	0	0	2	0	6	14	37	2	0	4	0	0	3
nFOMC20060510meeting.csv_MS.	2	0	0	0	0	0	0	0	453	0	0	0	0	0	0	2	0	19	0	0	0	3	0	15	0
nFOMC20060510meeting.csv_MS.	0	18	0	0	1	0	0	0	600	0	4	0	0	0	0	15	0	13	0	0	5	0	0	0	0
nFOMC20060510meeting.csv_VICE	1	0	2	0	12	0	0	0	604	0	0	0	0	0	0	0	91	7	1	0	4	0	0	1	2
nFOMC20070918meeting.csv_CHAIRMAN	89	2	20	0	0	12	6	0	1217	0	0	155	23	0	17	0	0	1	0	0	13	0	274	1	0
nFOMC20070918meeting.csv_MR.	15	1	0	54	0	0	7	0	221	0	49	85	0	0	0	0	2	0	0	0	0	0	0	6	1
nFOMC20070918meeting.csv_MR.	133	88	0	0	2	0	5	0	1189	273	0	218	7	1	1	0	1	0	0	0	0	0	0	0	0
nFOMC20070918meeting.csv_MR.	38	0	2	0	0	0	0	0	600	0	6	4	0	0	1	0	2	0	2	0	2	9	0	27	0
nFOMC20070918meeting.csv_MR.	51	12	0	0	0	14	4	26	845	1	0	82	38	268	6	10	0	0	0	8	16	0	27	11	1
nFOMC20070918meeting.csv_MR.	0	1	0	0	0	0	0	0	244	2	0	21	17	0	0	0	8	0	12	0	4	0	0	0	1
nFOMC20070918meeting.csv_MR.	185	0	1	9	0	21	8	0	768	1	4	72	18	1	0	0	12	3	0	3	10	1	0	0	0
nFOMC20070918meeting.csv_MR.	91	1	9	0	5	195	0	0	763	0	2	61	36	0	0	0	0	0	0	1	0	0	0	0	0
nFOMC20070918meeting.csv_MR.	97	1	8	0	0	34	1	6	922	33	0	118	0	0	0	0	0	0	4	0	23	0	2	29	0
nFOMC20070918meeting.csv_MR.	64	0	2	4	2	0	18	10	466	13	8	52	0	0	0	3	0	0	21	7	0	1	0	22	0
nFOMC20070918meeting.csv_MR.	72	0	0	35	0	0	0	0	1168	0	1	108	0	0	0	7	0	0	0	0	1	3	1	1	75
nFOMC20070918meeting.csv_MR.	55	0	0	9	0	18	2	0	537	0	0	5	215	0	0	0	0	0	0	0	1	0	2	0	0
nFOMC20070918meeting.csv_MR.	68	0	0	17	0	28	2	0	1479	6	28	24	0	0	0	1	2	0	67	2	7	29	4	0	0
nFOMC20070918meeting.csv_MR.	14	1	0	0	11	12	0	48	343	3	15	19	23	5	0	0	0	0	0	7	1	0	0	7	0
nFOMC20070918meeting.csv_MR.	93	12	1	0	1	1	0	0	530	3	1	127	26	0	0	0	5	0	0	0	0	0	0	0	1
nFOMC20070918meeting.csv_MR.	14	0	0	0	0	0	0	0	414	0	0	0	0	1	0	0	0	5	0	2	6	3	6	26	0
nFOMC20070918meeting.csv_MR.	34	0	0	1	0	7	0	2	1104	8	0	0	8	0	0	0	0	1	0	0	0	296	1	0	0
nFOMC20070918meeting.csv_MR.	112	5	0	0	0	0	180	2	639	0	0	20	0	2	6	0	16	0	0	0	0	0	0	0	3
nFOMC20070918meeting.csv_MS.	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0
nFOMC20070918meeting.csv_MS.	30	0	10	0	144	0	0	0	931	0	0	140	0	0	1	148	0	0	0	4	0	0	0	0	0
nFOMC20070918meeting.csv_MS.	0	2	1	8	0	0	0	0	223	0	1	234	0	0	0	0	0	0	10	0	9	0	0	0	2
nFOMC20070918meeting.csv_MS.	15	1	0	0	0	0	0	0	466	1	4	4	0	0	0	1	0	0	0	0	0	0	0	57	0
nFOMC20070918meeting.csv_MS.	93	4	0	0	1	4	0	9	840	29	2	42	0	0	1	1	1	1	0	1	6	6	6	6	0
nFOMC20070918meeting.csv_VICE	71	2	4	6	0	26	1	0	590	0	0	105	51	0	0	0	221	0	0	1	1	3	5	0	0
nFOMC20051213meeting.csv_CHAIRMAN	0	0	135	0	56	0	13	10	951	7	0	0	3	0	20	11	0	4	0	0	9	0	103	6	2
